 TIME                    	LPT3pin                  	LPT2pin                  	LPT1pin                  	LPT3mout                 	LPT2mout                 	LPT1mout                 	
  +1.3812500000000000E+02	  +4.6656976898105613E+00	  +6.2329671259802168E+00	  +1.0002712091599363E+01	  +8.4338397696660424E+04	  +9.5338403863838219E+04	  +9.7169938857942383E+04	
  +1.3825000000000000E+02	  +4.6656975219296291E+00	  +6.2329671958563448E+00	  +1.0002712418609196E+01	  +8.4338394634683063E+04	  +9.5338404139075821E+04	  +9.7169943359589306E+04	
  +1.3837500000000000E+02	  +4.6656975639829161E+00	  +6.2329670554590821E+00	  +1.0002712330014081E+01	  +8.4338395401692222E+04	  +9.5338403626639119E+04	  +9.7169943341966689E+04	
  +1.3850000000000000E+02	  +4.6656975754899976E+00	  +6.2329672165483654E+00	  +1.0002712182813157E+01	  +8.4338395611569678E+04	  +9.5338408135688587E+04	  +9.7169939410242630E+04	
  +1.3862500000000000E+02	  +4.6656975503307896E+00	  +6.2329672295124814E+00	  +1.0002712199609931E+01	  +8.4338395152691330E+04	  +9.5338408287038474E+04	  +9.7169939548697352E+04	
  +1.3875000000000000E+02	  +4.6656979909980523E+00	  +6.2329670927354215E+00	  +1.0002712144603679E+01	  +8.4338403190013749E+04	  +9.5338404183845632E+04	  +9.7169940028662284E+04	
  +1.3887500000000000E+02	  +4.6656979922026895E+00	  +6.2329674215198363E+00	  +1.0002712324900729E+01	  +8.4338403211985118E+04	  +9.5338404146350425E+04	  +9.7169939638354408E+04	
  +1.3900000000000000E+02	  +4.6656976422102039E+00	  +6.2329674434702076E+00	  +1.0002712349328000E+01	  +8.4338396828478333E+04	  +9.5338404878617890E+04	  +9.7169939809061238E+04	
  +1.3912500000000000E+02	  +4.6656976070312739E+00	  +6.2329671484744722E+00	  +1.0002712128547502E+01	  +8.4338396186850470E+04	  +9.5338403730282429E+04	  +9.7169939222106186E+04	
  +1.3925000000000000E+02	  +4.6656976898105613E+00	  +6.2329671259802168E+00	  +1.0002712091599363E+01	  +8.4338397696660424E+04	  +9.5338403863838219E+04	  +9.7169938857942383E+04	
  +1.3937500000000000E+02	  +4.6656975219296291E+00	  +6.2329671958563448E+00	  +1.0002712418609196E+01	  +8.4338394634683063E+04	  +9.5338404139075821E+04	  +9.7169943359589306E+04	
  +1.3950000000000000E+02	  +4.6656975639829161E+00	  +6.2329670554590821E+00	  +1.0002712330014081E+01	  +8.4338395401692222E+04	  +9.5338403626639119E+04	  +9.7169943341966689E+04	
  +1.3962500000000000E+02	  +4.6656975754899976E+00	  +6.2329672165483654E+00	  +1.0002712182813157E+01	  +8.4338395611569678E+04	  +9.5338408135688587E+04	  +9.7169939410242630E+04	
  +1.3975000000000000E+02	  +4.6656975503307896E+00	  +6.2329672295124814E+00	  +1.0002712199609931E+01	  +8.4338395152691330E+04	  +9.5338408287038474E+04	  +9.7169939548697352E+04	
  +1.3987500000000000E+02	  +4.6656979909980523E+00	  +6.2329670927354215E+00	  +1.0002712144603679E+01	  +8.4338403190013749E+04	  +9.5338404183845632E+04	  +9.7169940028662284E+04	
  +1.4000000000000000E+02	  +4.6656979922026895E+00	  +6.2329674215198363E+00	  +1.0002712324900729E+01	  +8.4338403211985118E+04	  +9.5338404146350425E+04	  +9.7169939638354408E+04	
  +1.4012500000000000E+02	  +4.6656976422102039E+00	  +6.2329674434702076E+00	  +1.0002712349328000E+01	  +8.4338396828478333E+04	  +9.5338404878617890E+04	  +9.7169939809061238E+04	
  +1.4025000000000000E+02	  +4.6656976070312739E+00	  +6.2329671484744722E+00	  +1.0002712128547502E+01	  +8.4338396186850470E+04	  +9.5338403730282429E+04	  +9.7169939222106186E+04	
  +1.4037500000000000E+02	  +4.6656976898105613E+00	  +6.2329671259802168E+00	  +1.0002712091599363E+01	  +8.4338397696660424E+04	  +9.5338403863838219E+04	  +9.7169938857942383E+04	
  +1.4050000000000000E+02	  +4.6656975219296291E+00	  +6.2329671958563448E+00	  +1.0002712418609196E+01	  +8.4338394634683063E+04	  +9.5338404139075821E+04	  +9.7169943359589306E+04	
  +1.4062500000000000E+02	  +4.6656975639829161E+00	  +6.2329670554590821E+00	  +1.0002712330014081E+01	  +8.4338395401692222E+04	  +9.5338403626639119E+04	  +9.7169943341966689E+04	
